Date,AAPL,ADBE,AMZN,AON,BA,BK,CAT,COST,CSCO,CVX,DIS,FDX,GE,GOOG,GOOGL,GS,HD,IBM,INTC,JCI,JNJ,KO,MCD,MRK,MSFT,NVDA,PEP,PFE,PG,SPGI,T,UNH,WMT,XOM
2009-03-05,2.7222668618684263,18.15999984741211,3.2060000896453857,31.328015523284837,22.138230010536148,14.752659213743874,16.22783246131578,28.58443007782866,9.83615924781691,30.7831474291021,14.034761697719233,34.77810744830491,23.02959024019928,7.845296314784306,7.882235570418193,63.0856038674126,12.387519613123631,48.71421294440961,7.945017467596226,6.240641815373266,30.111016470126906,11.821027198034361,33.54688347890592,12.489452498830321,11.723068862446596,0.19119471378455286,29.330906194792664,6.253246000009657,29.074890029888305,13.792217049166984,5.2150421142578125,13.924474856619401,11.857266789987808,35.487484110474064
2009-03-06,2.6584671622269513,17.15999984741211,3.259999990463257,32.237792084337386,22.433701879611732,13.929572171486766,15.702238975072264,27.907555993753554,9.599138370280723,30.5021475294557,13.473368932819643,33.080995111548106,23.882545549861046,7.615747173173014,7.651606139407634,62.66693678451845,12.24698091946872,48.34940312048493,7.8627859668200495,5.867874969275781,29.668477499279668,11.516140224634391,32.82929333119368,12.351294396406875,11.346097987649951,0.1893606406075857,28.762755030948867,6.399847275226485,28.71183881962592,13.656409228136626,5.263585270235685,13.169437124225594,11.810168760168859,34.823969080365046
2009-03-09,2.5332788071884997,17.030000686645508,3.109999895095825,32.852724119368496,22.714044326238263,12.555450920703201,15.032100824524273,27.10373687744141,9.217284611918618,30.55516587138878,13.167154678439516,29.476500554151496,23.711948258402263,7.436273939673889,7.471286797990206,56.15134253858851,11.872209803749607,46.818263625224084,7.799531350382623,5.703985360617945,29.581212508045294,11.917617161543252,33.11761206674709,11.13551087648966,11.235222231322691,0.1909653465015546,29.09365784821466,6.258302686719215,28.35505852073662,13.15844376072141,5.106394553609523,14.043693850142521,11.435726869016737,34.76867010193502
2009-03-10,2.554042565469036,17.190000534057617,3.124500036239624,32.85271821831226,23.805034262384574,13.252970978520896,16.267254459806278,27.519732976721862,9.243616659573016,31.7534013206784,12.95450827316193,29.350697439586312,27.32845272429547,7.39338903403023,7.428200793086256,59.12747561478838,12.42713074096122,47.04489618088315,8.096835333267494,5.707197613485063,29.43786258357681,11.962903641914435,33.84800400719512,11.953405913378688,11.360877523228956,0.19715518084860836,28.781496606682257,6.4200682410411956,27.860548574482618,13.618682156087361,5.108707968002374,14.019851606980192,11.212006879423075,36.2671250330911
2009-03-11,2.702706525910913,18.18000030517578,3.312000036239624,32.01875999495718,24.691477451409266,14.550371779645648,17.71921883140957,28.28829004174439,9.737401157847373,32.39493223625856,14.255909629771688,31.262693552034463,31.49082853117244,7.687139561957921,7.723334935596602,66.13787199711244,13.158935269492892,48.37150714464794,8.887542199994265,6.025335089528178,30.054912856369373,11.946094918109164,33.64298648524472,12.23523893492901,12.29221990405873,0.20747143648748317,29.149834187523076,6.62227667121876,28.536578879970648,14.493902782465586,5.372232588457132,15.434553463253648,11.523917071288816,37.25688207591054
2009-03-12,2.7956946391960247,18.469999313354492,3.4175000190734863,31.816595032711593,25.009679218799953,15.875668686897653,17.21989884409928,28.175480334945032,9.875661715307745,32.71836346197277,14.289934109441864,31.380089368250996,29.78493005619742,7.871572464193342,7.9086355152536445,70.05024876739054,13.314790076241284,48.9684871823824,9.007727254647387,5.944998279392803,29.74327156169231,12.074225587047026,32.92538654298619,12.080509075190344,12.573099136352539,0.2125149195181032,29.518199266414786,6.6981041767785365,28.09841668686948,14.561811839486655,5.430022727010621,15.124589872352198,11.336823265081492,36.49935971558414
2009-03-13,2.898013778566888,19.239999771118164,3.4820001125335693,32.49050573855684,25.547614559996898,17.096337109909125,18.0280031909577,28.901723994287106,10.178515366358955,33.86889315744748,15.00442992123518,32.545740201541776,33.77672264948495,8.083768997814524,8.121831171152571,74.43458815745065,13.850084102865464,49.968989725636305,9.216481033487872,6.195651203403282,30.9649096785335,12.531818731900351,33.745492560309806,13.40682009391665,12.550925552838343,0.2226019570005785,30.329827983221893,7.0570208497489455,28.855807475917402,15.248398065916549,5.693550399488374,16.300863065156562,11.52628912317251,37.26241944374118
2009-03-16,2.904935548382865,18.690000534057617,3.427999973297119,32.768479661326694,25.562759438597556,16.63597192933142,17.78492008467274,29.70553494162029,10.395774822313989,32.69185664818167,14.689713293487262,32.47026666091435,34.015557035607934,8.081041687343559,8.119091403101331,76.36796475818414,14.046597007220704,50.65991623213095,9.35563849997523,6.028549151597353,31.868693107371026,12.647731998289892,33.732669952888585,14.909980204376325,12.432659782783594,0.22695771158226424,30.535852478622555,7.395717866865542,29.650755091800832,14.984338064370046,5.663496211728966,17.190998726482928,11.684959462374925,37.06889875195812
2009-03-17,2.866114378557507,18.6200008392334,3.368499994277954,31.54704110141568,25.69914742789841,15.819869667863275,17.41700215589891,30.382413484772638,10.349691369668914,33.460635372304786,14.630174498107865,34.155839064436904,33.606136921436146,7.937015487980555,7.974387981387752,70.5145780208045,13.890743596041311,50.36142733958332,9.058330001271802,6.189226713960107,31.600653099368035,12.611123388823039,33.12401200999505,14.37392972176204,12.063079393141843,0.21664143859709747,30.417215328266476,7.132843602200197,30.013794374896836,14.524082313673917,5.624202546356412,16.777729861908927,11.580758273275848,36.94171608714938
2009-03-18,3.0066508397709475,19.40999984741211,3.5485000610351562,32.42310788199341,25.979473075231848,16.733626456061,17.239600618702752,30.95354265256833,10.553786264565243,34.303651973068945,15.07247928925768,35.22084740510641,33.87906769094147,8.299682114040792,8.3387618028813,74.27470959495031,14.432818444647795,49.44937726116496,9.425217135743294,6.343473514208749,31.594438676085687,12.59892296481202,34.23882535523316,14.534186163416761,12.587885647471975,0.22328970932843534,30.098815777692938,7.183397889403963,29.88862081059536,14.931513552191742,5.836871012554554,16.944623761265884,11.592598766971541,37.881706918412796
2009-03-19,3.0650322348257086,21.84000015258789,3.569999933242798,33.70352839903875,25.653679106522862,19.865509487535753,18.376217339624827,31.44710681790899,10.98173224980814,36.185834593060484,15.438236652914258,36.864478986184245,38.212053230431266,8.22209241514508,8.260805848981347,79.65620787347285,15.25948610973959,51.317679923468724,9.73517674890402,6.6101928530047545,31.887370436274537,12.766703557196186,35.6099093415112,14.937612187222575,12.83919812339186,0.23543996669578243,31.13519879804555,7.208676303024669,30.195318355414308,15.18049555133911,6.021802204265553,17.715557673459887,12.030724085644266,38.92675218218036
2009-03-20,3.0722545621454747,21.010000228881836,3.5195000171661377,32.79375535253737,25.168792993611035,17.79386164959145,18.8098313158773,32.13103851672002,10.777640104277873,35.80941461840532,15.140526824192696,37.72825416974457,34.28851172527802,8.187882203991991,8.22643520167286,75.74379464789301,15.306923386491022,51.49457419248354,9.608665504452366,6.31455121885354,31.843736888368213,12.910084136207576,34.90514318486013,14.711028928020347,12.802240394849196,0.23452297471275876,30.741874916878093,6.925584993444476,29.137488210768314,14.856056175393098,5.9732566852114015,17.25458683986806,11.874419648600425,37.953581052193044
2009-03-23,3.090913698519242,21.200000762939453,3.568000078201294,33.29918848712277,25.153637177291824,17.47299658665441,18.487901669294786,32.067575210084556,10.738130371417618,34.94519236811789,15.166046287709058,36.46196003474302,35.07319820587665,8.2686964540522,8.307628526157972,78.01966942834889,15.198502866327525,51.79305836411923,9.501128847563121,6.375606660679457,32.647784793864226,13.16633083514635,34.5784035228457,15.031553028331768,12.839198627049036,0.22535300439217706,31.422395192604505,7.051966426124508,28.86206156262547,14.72779822566663,5.99637526845954,16.849256048364985,11.907576640515687,37.04124105743446
2009-03-24,3.200754976150033,22.59000015258789,3.742500066757202,33.509777025595106,26.426464250813403,19.09823871130522,19.407700074973427,33.43547205723786,10.994903078869331,36.1805404891171,15.387201631829553,36.98188612266414,34.868505269746855,8.58946751949357,8.629911094469062,84.17752921441665,15.605056659746936,53.99853536878275,9.652943828406933,6.4688002292929765,33.027986660198025,13.30055708518717,35.23832598325137,15.258131999462336,13.334436995105989,0.22856245346917267,31.946830661463732,7.031743071499042,29.682046672037252,15.791641134242768,6.1558741618694945,17.230753239734355,12.078098925301648,38.484405423209644
